check,timestamp,url,final_url,status_code,location,body_snippet,headers
"API health","2026-06-01T21:10:06Z","https://api.ceq.lol/health","https://api.ceq.lol/health","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"API ready","2026-06-01T21:10:06Z","https://api.ceq.lol/ready","https://api.ceq.lol/ready","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"API docs","2026-06-01T21:10:06Z","https://api.ceq.lol/docs","https://api.ceq.lol/docs","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Jobs trailing slash redirect","2026-06-01T21:10:06Z","https://api.ceq.lol/v1/jobs","https://api.ceq.lol/v1/jobs","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Jobs list no-auth","2026-06-01T21:10:06Z","https://api.ceq.lol/v1/jobs/","https://api.ceq.lol/v1/jobs/","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Templates list no-auth","2026-06-01T21:10:06Z","https://api.ceq.lol/v1/templates/?skip=0&limit=1","https://api.ceq.lol/v1/templates/?skip=0&limit=1","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Templates categories","2026-06-01T21:10:06Z","https://api.ceq.lol/v1/templates/categories","https://api.ceq.lol/v1/templates/categories","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Assets types","2026-06-01T21:10:06Z","https://api.ceq.lol/v1/assets/types","https://api.ceq.lol/v1/assets/types","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Outputs list","2026-06-01T21:10:06Z","https://api.ceq.lol/v1/outputs","https://api.ceq.lol/v1/outputs","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Outputs channels","2026-06-01T21:10:06Z","https://api.ceq.lol/v1/outputs/channels","https://api.ceq.lol/v1/outputs/channels","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Render card no-auth","2026-06-01T21:10:07Z","https://api.ceq.lol/v1/render/card","https://api.ceq.lol/v1/render/card","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Credits balance no-auth","2026-06-01T21:10:07Z","https://api.ceq.lol/v1/credits/balance","https://api.ceq.lol/v1/credits/balance","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Operations status no-auth","2026-06-01T21:10:07Z","https://api.ceq.lol/v1/operations/status","https://api.ceq.lol/v1/operations/status","curl_fail","","curl: (6) Could not resolve host: api.ceq.lol ",""
"Public landing","2026-06-01T21:10:07Z","https://ceq.lol/","https://ceq.lol/","curl_fail","","curl: (6) Could not resolve host: ceq.lol ",""
"App root no-cookie","2026-06-01T21:10:07Z","https://app.ceq.lol/","https://app.ceq.lol/","curl_fail","","curl: (6) Could not resolve host: app.ceq.lol ",""
"App login","2026-06-01T21:10:07Z","https://app.ceq.lol/login","https://app.ceq.lol/login","curl_fail","","curl: (6) Could not resolve host: app.ceq.lol ",""
"App session","2026-06-01T21:10:07Z","https://app.ceq.lol/api/auth/session","https://app.ceq.lol/api/auth/session","curl_fail","","curl: (6) Could not resolve host: app.ceq.lol ",""
"App docs","2026-06-01T21:10:07Z","https://app.ceq.lol/api/docs","https://app.ceq.lol/api/docs","curl_fail","","curl: (6) Could not resolve host: app.ceq.lol ",""
